相关性较大： id_rank    id_rank 1.0 

相关性较大： CREDIT_FLAG    CREDIT_FLAG 1.0 

相关性较大： AGE    AGE 1.0 

相关性较大： mobile_fixed_days    mobile_fixed_days 1.0 

相关性较大： adr_stability_days    adr_stability_days 1.0 

相关性较大： consume_steady_byxs_1y    consume_steady_byxs_1y 1.0 

相关性较大： use_mobile_2_cnt_1y    use_mobile_2_cnt_1y 1.0 

相关性较大： activity_area_stability    activity_area_stability 1.0 

相关性较大： last_1y_total_active_biz_cnt    last_1y_total_active_biz_cnt 1.0 

相关性较大： have_car_flag    have_car_flag 1.0 

相关性较大： have_fang_flag    have_fang_flag 1.0 

相关性较大： ovd_order_cnt_3m    ovd_order_cnt_1m 0.8116628074622181 

相关性较大： ovd_order_cnt_3m    ovd_order_cnt_3m 1.0 

相关性较大： ovd_order_cnt_3m    ovd_order_amt_3m 0.816934545464367 

相关性较大： ovd_order_cnt_3m    ovd_order_cnt_6m 0.9249147477889559 

相关性较大： ovd_order_cnt_3m    ovd_order_cnt_12m 0.8841517870753093 

相关性较大： ovd_order_cnt_3m    ovd_order_c0t_3m_m1_status 0.8432190149142116 

相关性较大： ovd_order_amt_3m    ovd_order_cnt_3m 0.816934545464367 

相关性较大： ovd_order_amt_3m    ovd_order_amt_3m 1.0 

相关性较大： ovd_order_amt_3m    ovd_order_amt_6m 0.8396365003063122 

相关性较大： ovd_order_cnt_6m    ovd_order_cnt_3m 0.9249147477889559 

相关性较大： ovd_order_cnt_6m    ovd_order_cnt_6m 1.0 

相关性较大： ovd_order_cnt_6m    ovd_order_amt_6m 0.8182672906496369 

相关性较大： ovd_order_cnt_6m    ovd_order_cnt_12m 0.970726544286999 

相关性较大： ovd_order_cnt_6m    ovd_order_c0t_3m_m1_status 0.8242985198486071 

相关性较大： ovd_order_cnt_6m    ovd_order_c0t_6m_m1_status 0.8381736123847616 

相关性较大： ovd_order_cnt_6m    ovd_order_c0t_12m_m1_status 0.807701080507934 

相关性较大： ovd_order_amt_6m    ovd_order_amt_3m 0.8396365003063122 

相关性较大： ovd_order_amt_6m    ovd_order_cnt_6m 0.8182672906496369 

相关性较大： ovd_order_amt_6m    ovd_order_amt_6m 1.0 

相关性较大： ovd_order_amt_6m    ovd_order_cnt_12m 0.804589538112658 

相关性较大： ovd_order_amt_6m    ovd_order_amt_12m 0.8849561183806185 

相关性较大： ovd_order_cnt_12m    ovd_order_cnt_3m 0.8841517870753093 

相关性较大： ovd_order_cnt_12m    ovd_order_cnt_6m 0.970726544286999 

相关性较大： ovd_order_cnt_12m    ovd_order_amt_6m 0.804589538112658 

相关性较大： ovd_order_cnt_12m    ovd_order_cnt_12m 1.0 

相关性较大： ovd_order_cnt_12m    ovd_order_amt_12m 0.8022491645807267 

相关性较大： ovd_order_cnt_12m    ovd_order_c0t_6m_m1_status 0.8271452991428181 

相关性较大： ovd_order_cnt_12m    ovd_order_c0t_12m_m1_status 0.8311145702068714 

相关性较大： ovd_order_amt_12m    ovd_order_amt_6m 0.8849561183806185 

相关性较大： ovd_order_amt_12m    ovd_order_cnt_12m 0.8022491645807267 

相关性较大： ovd_order_amt_12m    ovd_order_amt_12m 1.0 

相关性较大： ovd_order_c0t_3m_m1_status    ovd_order_cnt_3m 0.8432190149142116 

相关性较大： ovd_order_c0t_3m_m1_status    ovd_order_cnt_6m 0.8242985198486071 

相关性较大： ovd_order_c0t_3m_m1_status    ovd_order_c0t_3m_m1_status 1.0 

相关性较大： ovd_order_c0t_3m_m1_status    ovd_order_c0t_6m_m1_status 0.9005296458434215 

相关性较大： ovd_order_c0t_3m_m1_status    ovd_order_c0t_12m_m1_status 0.8669280911977337 

相关性较大： ovd_order_c0t_6m_m1_status    ovd_order_cnt_6m 0.8381736123847616 

相关性较大： ovd_order_c0t_6m_m1_status    ovd_order_cnt_12m 0.8271452991428181 

相关性较大： ovd_order_c0t_6m_m1_status    ovd_order_c0t_3m_m1_status 0.9005296458434215 

相关性较大： ovd_order_c0t_6m_m1_status    ovd_order_c0t_6m_m1_status 1.0 

相关性较大： ovd_order_c0t_6m_m1_status    ovd_order_c0t_12m_m1_status 0.9626868978710963 

相关性较大： ovd_order_c0t_12m_m1_status    ovd_order_cnt_6m 0.807701080507934 

相关性较大： ovd_order_c0t_12m_m1_status    ovd_order_cnt_12m 0.8311145702068714 

相关性较大： ovd_order_c0t_12m_m1_status    ovd_order_c0t_3m_m1_status 0.8669280911977337 

相关性较大： ovd_order_c0t_12m_m1_status    ovd_order_c0t_6m_m1_status 0.9626868978710963 

相关性较大： ovd_order_c0t_12m_m1_status    ovd_order_c0t_12m_m1_status 1.0 

相关性较大： ovd_order_c0t_12m_m3_status    ovd_order_c0t_12m_m3_status 1.0 

相关性较大： ovd_order_c0t_12m_m3_status    ovd_order_c0t_21_m3_status 0.9681994744643635 

相关性较大： ovd_order_c0t_12m_m3_status    ovd_order_c0t_51_m3_status 0.9551798230704606 

相关性较大： ovd_order_c0t_12m_m6_status    ovd_order_c0t_12m_m6_status 1.0 

相关性较大： ovd_order_c0t_12m_m6_status    ovd_order_c0t_21_m6_status 0.9900003587671399 

相关性较大： ovd_order_c0t_12m_m6_status    ovd_order_c0t_51_m6_status 0.9851110100650382 

相关性较大： ovd_order_c0t_21_m3_status    ovd_order_c0t_12m_m3_status 0.9681994744643635 

相关性较大： ovd_order_c0t_21_m3_status    ovd_order_c0t_21_m3_status 1.0 

相关性较大： ovd_order_c0t_21_m3_status    ovd_order_c0t_51_m3_status 0.9865527179704425 

相关性较大： ovd_order_c0t_21_m6_status    ovd_order_c0t_12m_m6_status 0.9900003587671399 

相关性较大： ovd_order_c0t_21_m6_status    ovd_order_c0t_21_m6_status 1.0 

相关性较大： ovd_order_c0t_21_m6_status    ovd_order_c0t_51_m6_status 0.9950612657262764 

相关性较大： ovd_order_c0t_51_m3_status    ovd_order_c0t_12m_m3_status 0.9551798230704606 

相关性较大： ovd_order_c0t_51_m3_status    ovd_order_c0t_21_m3_status 0.9865527179704425 

相关性较大： ovd_order_c0t_51_m3_status    ovd_order_c0t_51_m3_status 1.0 

相关性较大： ovd_order_c0t_51_m6_status    ovd_order_c0t_12m_m6_status 0.9851110100650382 

相关性较大： ovd_order_c0t_51_m6_status    ovd_order_c0t_21_m6_status 0.9950612657262764 

相关性较大： ovd_order_c0t_51_m6_status    ovd_order_c0t_51_m6_status 1.0 

相关性较大： relevant_stability    relevant_stability 1.0 

相关性较大： sns_pii    sns_pii 1.0 

pcamain_credit:
 [[ 0.34680802 -0.47412377  0.05390562  0.31660877  0.49703033  0.55203693]]
pcamain_last:
 [[ 0.1832118   0.9715902   0.14961022  0.00739488 -0.00283025]]
pcamain_ebill:
 [[-0.54873548 -0.594534   -0.58772331]]
pcamain_auth:
 [[-0.40580777 -0.83251233  0.37715152]]
pcamain_tot:
 [[-0.56240389 -0.60261683 -0.5661756 ]]
pcamain_ovd1:
 [[-0.09040271  0.22087083 -0.02508589  0.24627135 -0.24449957  0.03605424
   0.54225896  0.71135483 -0.01062877  0.13243706 -0.05442035]]
pcamain_ovd2t:
 [[ 0.54573476  0.10763043 -0.80796433  0.18607224  0.05440805 -0.01413454]]
pcamain_pre:
 [[ 0.71705472 -0.69701687]]
方程系数：
