id_rank,CREDIT_FLAG,AGE,mobile_fixed_days,adr_stability_days,consume_steady_byxs_1y,use_mobile_2_cnt_1y,activity_area_stability,last_1y_total_active_biz_cnt,have_car_flag,have_fang_flag,last_6m_avg_asset_total,last_3m_avg_asset_total,last_1m_avg_asset_total,last_1y_avg_asset_total,tot_pay_amt_6m,tot_pay_amt_3m,tot_pay_amt_1m,ebill_pay_amt_6m,ebill_pay_amt_3m,ebill_pay_amt_1m,avg_puc_sdm_last_1y,xfdc_index,pre_1y_pay_cnt,pre_1y_pay_amount,auth_fin_last_1m_cnt,auth_fin_last_3m_cnt,auth_fin_last_6m_cnt,credit_pay_amt_1m,credit_pay_amt_3m,credit_pay_amt_6m,credit_pay_amt_1y,credit_pay_months_1y,credit_total_pay_months,credit_duration,positive_biz_cnt_1y,ovd_order_cnt_1m,ovd_order_amt_1m,ovd_order_cnt_3m,ovd_order_amt_3m,ovd_order_cnt_6m,ovd_order_amt_6m,ovd_order_cnt_12m,ovd_order_amt_12m,ovd_order_c0t_3m_m1_status,ovd_order_c0t_6m_m1_status,ovd_order_c0t_12m_m1_status,ovd_order_c0t_12m_m3_status,ovd_order_c0t_12m_m6_status,ovd_order_c0t_21_m3_status,ovd_order_c0t_21_m6_status,ovd_order_c0t_51_m3_status,ovd_order_c0t_51_m6_status,relevant_stability,sns_pii
16737,1,31,7,5,9,2,3,8,2,2,3,3,2,3,5,7,8,9,10,11,1,8,5,4,1,1,2,1,2,2,2,3,4,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,4,5
21271,-1,44,3,2,4,2,3,5,1,2,2,2,2,2,3,2,2,6,3,3,1,10,4,4,2,3,4,2,3,2,2,4,3,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,4
3904,1,24,2,2,2,1,2,6,1,1,3,3,3,2,2,3,3,2,2,3,1,2,2,2,1,1,1,3,3,2,2,5,4,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,3
3932,-1,48,2,1,1,1,1,3,1,1,1,1,1,1,2,1,1,3,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
23678,-1,25,2,4,6,3,3,10,1,1,7,7,7,7,8,9,9,6,7,4,1,2,9,7,4,4,4,6,5,4,3,7,6,5,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,8,6
23889,-1,36,7,4,4,3,3,6,2,2,2,2,1,3,10,9,10,8,8,4,1,3,9,9,1,1,2,1,3,3,4,6,9,3,1,2,5,3,7,4,8,5,8,1,1,1,0,0,0,0,0,0,8,6
4309,1,31,9,10,5,1,5,8,2,2,4,4,2,8,5,6,8,8,10,11,1,3,3,3,2,3,3,1,2,3,4,7,9,10,4,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,4,4
24466,-1,26,3,2,7,1,2,5,1,1,2,3,3,2,3,4,6,3,3,5,1,9,3,3,3,4,4,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,0,0,0,0,0,0,9,2
24788,-1,19,3,1,6,2,1,6,1,1,4,4,3,4,4,4,4,4,3,2,1,2,4,2,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,7,3
25084,-1,29,2,3,5,2,2,4,1,2,2,2,1,2,2,2,2,3,2,2,1,10,5,5,1,2,3,1,3,3,3,7,5,4,1,1,1,1,1,2,4,2,4,0,1,1,1,0,1,0,1,0,4,3
