id_rank,CREDIT_FLAG,AGE,adr_stability_days,consume_steady_byxs_1y,last_1y_total_active_biz_cnt,last_6m_avg_asset_total,last_3m_avg_asset_total,last_1m_avg_asset_total,last_1y_avg_asset_total,tot_pay_amt_6m,tot_pay_amt_3m,tot_pay_amt_1m,ebill_pay_amt_6m,ebill_pay_amt_3m,ebill_pay_amt_1m,xfdc_index,pre_1y_pay_cnt,pre_1y_pay_amount,auth_fin_last_1m_cnt,auth_fin_last_3m_cnt,auth_fin_last_6m_cnt,credit_pay_amt_1m,credit_pay_amt_3m,credit_pay_amt_6m,credit_pay_amt_1y,credit_pay_months_1y,credit_total_pay_months,credit_duration,relevant_stability,sns_pii,use_mobile_2_cnt_1y,activity_area_stability,positive_biz_cnt_1y
15302,1,35,5,7,4,3,3,2,6,2,2,4,4,4,6,5,6,6,1,2,2,1,1,1,1,1,1,1,8,1,3,3,2
16518,1,19,2,3,5,3,3,2,3,2,2,3,3,4,3,3,7,4,2,2,2,1,1,1,1,1,1,1,3,5,2,5,1
17277,1,25,2,6,10,7,7,7,6,9,10,9,10,10,11,9,10,10,1,2,2,1,1,1,1,1,1,1,9,7,3,5,2
17556,1,25,4,2,10,7,7,7,7,5,6,7,8,9,10,8,3,3,1,1,1,4,4,4,4,10,8,4,8,6,3,4,1
21153,0,29,2,5,10,7,6,6,7,12,12,8,6,6,6,3,10,8,1,3,4,3,3,4,4,6,5,1,8,9,3,2,7
918,1,32,7,10,4,8,9,10,8,7,7,6,5,6,8,4,2,2,1,2,2,1,1,1,1,1,1,8,5,4,2,4,1
1765,1,24,7,3,7,9,9,9,9,7,8,8,10,10,11,3,3,6,1,1,2,3,3,4,3,9,6,3,6,6,1,3,4
2955,0,31,1,6,6,3,3,4,2,9,10,9,7,9,8,10,6,7,3,4,4,4,6,7,7,10,9,9,9,2,1,1,2
23559,0,25,1,1,3,1,2,3,2,2,3,5,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,5,1,1,1,1
24319,0,31,10,9,6,4,5,6,4,4,6,7,5,8,3,7,3,4,3,4,4,4,3,3,2,4,4,8,3,4,1,2,2
24362,0,25,2,8,6,3,3,2,2,10,8,9,4,4,7,2,10,9,4,4,4,1,1,4,4,6,4,1,8,6,4,4,1
24615,0,20,2,6,10,4,4,5,4,5,4,6,7,6,7,3,10,8,3,4,4,4,4,4,3,6,4,2,9,5,2,3,1
5452,1,34,4,2,6,4,5,4,4,6,7,7,9,9,10,9,4,8,1,1,2,3,3,3,3,8,7,4,2,8,1,2,1
8335,1,33,2,8,3,5,5,5,5,2,3,5,4,6,9,9,4,4,2,2,2,1,1,1,1,1,1,1,2,1,1,2,1
8766,1,44,9,6,3,1,1,1,1,2,2,3,3,4,6,7,1,1,1,1,1,1,1,1,1,1,2,8,4,1,1,3,2
11692,1,32,8,3,10,4,5,3,4,13,11,10,6,7,8,4,4,3,1,2,2,10,10,10,10,10,10,10,7,8,1,7,1
11997,1,28,8,7,6,2,2,2,3,4,5,7,5,6,6,2,6,6,2,2,3,3,4,4,4,8,10,8,8,5,2,5,2
14899,1,30,2,6,8,5,4,4,9,4,3,3,6,6,5,6,4,5,1,2,3,1,3,3,3,4,3,3,7,6,1,3,2
15783,1,25,5,10,2,1,1,1,1,2,2,2,4,2,2,4,3,3,1,2,2,1,1,1,1,1,3,7,8,1,1,2,1
15902,1,31,1,8,3,1,1,1,2,1,1,1,1,1,1,7,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17223,1,30,2,1,2,1,1,1,1,2,2,3,2,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1
17559,1,24,4,3,6,3,3,4,3,4,5,5,4,3,4,3,10,8,2,2,2,1,1,1,1,1,1,1,8,8,2,3,1
20761,0,31,1,1,6,2,2,3,2,2,2,5,2,2,2,2,3,2,3,3,3,1,1,1,1,1,1,1,2,2,2,1,1
424,1,27,4,9,8,10,11,11,10,4,3,3,5,6,4,5,5,7,1,2,3,3,4,3,2,3,3,3,4,7,2,6,2
1943,1,27,2,4,6,11,11,12,10,7,5,4,5,5,6,8,10,8,1,1,1,4,3,2,2,2,2,3,6,5,1,4,2
3087,1,20,5,5,8,8,8,8,8,5,5,5,5,4,6,3,3,3,1,1,2,1,1,1,1,1,1,1,8,5,3,4,3
3121,1,24,7,4,6,5,5,5,7,4,5,6,3,3,4,4,9,7,1,1,1,1,1,1,1,1,3,1,5,3,1,6,1
23424,0,26,5,4,9,6,3,2,6,10,10,11,9,8,9,3,9,7,2,3,3,8,5,5,5,10,7,4,4,8,1,2,2
4391,1,29,7,3,6,8,8,9,8,7,8,9,9,9,11,5,3,3,2,2,2,4,4,5,5,10,10,10,7,4,2,6,2
7693,1,33,10,5,8,6,5,5,5,9,10,9,9,9,7,5,3,3,1,2,2,9,8,8,7,10,10,10,3,9,1,6,1
15118,1,27,7,7,6,8,4,3,8,6,6,4,5,7,7,10,5,5,1,1,1,1,1,4,4,7,5,7,3,5,2,3,3
16442,1,27,5,9,9,6,6,7,7,9,9,9,12,12,12,8,2,4,1,1,1,7,7,6,4,9,9,6,6,8,1,5,3
